Date,.dMIWO000I0PUS,.dMIEF000I0PUS,.dMIWD000I0PUS,.dMINA000I0PUS,.dMIEU000I0PUS,.dMIUG000I0PUS,.dMIEE000I0PUS,.dMIMU000I0PUS,.dMIER000I0PUS,.dMIWOU00I0PUS,.dMIAX000I0PUS,.dMISX000I0PUS,.dMICA000I0PUS,.dMIUS000I0PUS,.dMIAT000I0PUS,.dMIBE000I0PUS,.dMIDK000I0PUS,.dMIFI000I0PUS,.dMIFR000I0PUS,.dMIDE000I0PUS,.dMIIE000I0PUS,.dMIIL000I0PUS,.dMIIT000I0PUS,.dMINL000I0PUS,.dMINO000I0PUS,.dMIPT000I0PUS,.dMIES000I0PUS,.dMISE000I0PUS,.dMICH000I0PUS,.dMIGB000I0PUS,.dMIAU000I0PUS,.dMIHK000I0PUS,.dMIJP000I0PUS,.dMINZ000I0PUS,.dMISG000I0PUS,.dMIBR000I0PUS,.dMICL000I0PUS,.dMICO000I0PUS,.dMIMX000I0PUS,.dMICZ000I0PUS,.dMIEG000I0PUS,.dMIGR000I0PUS,.dMIHU000I0PUS,.dMIIN000I0PUS,.dMIKW000I0PUS,.dMIPL000I0PUS,.dMIQA000I0PUS,.dMISAPz0I0PUS,.dMIZA000I0PUS,.dMITR000I0PUS,.dMIAE000I0PUS,.dMICN000I0PUS,.dMIID000I0PUS,.dMIKR000I0PUS,.dMIMY000I0PUS,.dMIPH000I0PUS,.dMITW000I0PUS,.dMITH000I0PUS,.dMIEF00000PUS
2015-10-01,1007.179,805.267,979.108,1248.753,730.164,730.523,618.129,419.723,714.005,751.932,973.309,885.296,752.241,1300.145,358.301,668.003,1514.385,530.418,667.521,791.125,454.13,1037.108,426.11,800.404,558.209,320.107,522.56,919.631,1119.479,727.002,671.881,1120.214,833.286,739.336,770.975,399.315,699.403,864.891,808.988,491.504,,48.424,370.474,1032.392,,422.249,,781.065,910.475,651.563,,1042.102,991.58,915.52,882.75,1634.713,945.085,1536.015,797.6123592
2015-10-02,1019.347,811.506,990.522,1266.966,738.172,738.256,619.727,415.982,721.416,758.022,981.799,888.787,758.754,1319.556,361.778,677.809,1517.422,538.606,676.376,799.53,454.566,1038.932,433.505,811.598,559.879,329.458,528.076,927.734,1127.116,735.575,662.218,1148.847,837.487,742.399,765.994,412.678,702.639,881.177,810.424,494.36,,48.789,369.741,1032.392,,421.533,,781.065,923.081,656.972,,1076.147,979.969,907.407,877.795,1627.328,942.518,1534.263,804.1010813
2015-10-05,1038.691,828.246,1009.478,1290.915,755.971,755.842,641.785,432.628,739.143,772.827,997.23,904.715,777.289,1344.077,368.438,692.106,1538.747,552.06,695.01,816.257,463.396,1053.391,442.605,831.374,575.271,339.675,545.571,956.19,1149.455,753.775,679.835,1162.886,840.943,754.958,786.076,424.88,724.488,915.726,832.76,495.631,,51.273,372.155,1056.73,,430.178,,793.281,959.521,681.518,,1092.341,1035.288,916.805,893.379,1660.784,950.288,1568.899,821.261623
2015-10-06,1040.709,835.12,1012.065,1286.97,764.108,765.584,647.537,439.497,747.21,780.671,1003.924,911.692,786.13,1338.84,374.877,695.466,1551.144,561.639,704.906,826.944,468.307,1064.818,448.785,840.105,595.142,344.552,555.412,965.619,1161.812,758.431,687.617,1162.281,848.259,763.601,797.599,433.442,735.685,950.705,834.236,492.379,,52.087,373.257,1060.295,,434.735,,794.829,962.981,686.786,,1092.191,1090.838,929.19,901.676,1684.909,956.524,1580.435,828.6795107
2015-10-07,1048.902,855.647,1021.692,1299.288,763.932,762.593,662.18,450.437,747.593,785.724,1028.835,933.017,802.809,1350.732,378.114,693.687,1541.682,559.968,703.347,829.22,462.478,1067.082,444.288,834.042,613.064,347.291,559.13,961.74,1143.366,764.312,700.18,1185.968,859.435,774.069,822.552,449.9,741.733,973.05,845.084,490.279,,52.907,378.514,1068.228,,437.026,,809.591,985.897,712.736,,1132.261,1142.199,944.205,951.573,1709.11,971.892,1631.807,850.7832694
2015-10-08,1055.218,853.113,1026.93,1310.433,768.063,767.287,662.677,453.336,751.658,787.466,1024.955,930.356,807.231,1362.567,378.748,691.909,1537.485,561.814,707.693,834.59,463.258,1070.892,448.603,838.798,609.166,348.074,561.767,971.461,1153.724,767.216,700.811,1184.143,853.862,768.062,818.459,446.092,740.617,979.11,849.618,486.475,,52.935,384.944,1060.573,,442.29,,822.46,982.327,714.618,,1119.128,1139.827,953.032,946.177,1708.665,967.218,1625.595,848.3677747
2015-10-09,1061.583,863.719,1033.774,1312.087,775.991,776.306,675.106,465.014,759.769,797.963,1034.386,943.446,814.374,1363.67,383.267,699.239,1551.157,567.157,715.843,847.716,462.326,1079.41,453.179,844.158,618.063,352.273,573.012,988.759,1161.186,772.772,723.79,1187.164,869.78,780.498,842.94,461.167,752.242,993.305,862.941,494.417,,53.382,395.868,1072.566,,450.138,,822.46,999.447,720.14,,1127.363,1211.893,953.032,978.276,1726.943,967.218,1675.223,859.3237979
2015-10-12,1061.805,870.216,1034.742,1312.546,774.975,776.614,673.406,463.528,758.73,797.797,1046.526,951.473,812.458,1364.369,383.364,697.669,1555.78,568.37,715.324,850.185,462.433,1069.249,450.59,843.132,612.274,341.69,569.987,991.441,1166.042,768.91,720.993,1195.922,872.681,791.201,849.873,456.422,750.946,984.961,859.553,507.042,,53.725,400.691,1066.03,,449.859,,836.714,994.635,717.998,,1145.073,1223.988,966.757,978.966,1733.66,990.286,1684.507,865.2252229
2015-10-13,1053.011,859.764,1025.786,1302.445,767.796,770.639,664.81,457.514,751.615,790.342,1037.839,942.134,803.72,1354.119,376.879,701.635,1541.029,562.629,708.922,841.554,462.178,1061.238,449.856,841.624,602.78,336.912,562.03,981.642,1160.012,759.166,709.541,1193.847,865.85,789.031,835.029,431.363,742.017,969.657,853.907,497.452,,53.815,397.329,1057.984,,446.253,,835.859,979.066,703.572,,1138.026,1153.886,960.108,969.887,1690.657,985.984,1666.243,854.2873206
2015-10-14,1047.836,855.308,1020.717,1296.199,766.543,767.677,666.469,459.152,750.508,786.732,1033.717,938.112,804.848,1347.124,381.816,703.743,1511.641,563.746,707.97,836.685,462.351,1050.315,448.64,837.061,603.238,338.357,560.207,969.677,1158.163,761.593,705.18,1192.504,852.082,800.836,844.896,423.011,737.357,947.974,845.019,491.973,,53.512,400.268,1057.945,,447.888,,836.803,982.61,718.208,,1127.031,1153.886,958.08,969.887,1674.279,978.326,1658.357,849.39715
2015-10-15,1062.429,870.729,1035.35,1315.208,774.01,774.228,676.813,464.51,757.864,796.219,1054.015,955.569,808.468,1367.704,385.306,706.232,1516.925,568.591,714.728,844.884,468.99,1076.996,454.033,853.266,609.77,341.972,561.181,964.386,1170.637,771.005,715.337,1215.542,868.527,820.549,855.662,426.705,746.491,947.483,853.673,486.223,,55.244,402.351,1067.038,,449.403,,829.362,1006.117,726.676,,1149.999,1177.741,983.808,984.666,1704.815,997.489,1702.097,864.7334605
2015-10-16,1066.507,871.359,1039.001,1319.846,777.495,778.028,674.589,460.98,760.993,799.247,1056.099,957.106,806.734,1372.99,387.379,709.126,1545.724,565.325,717.957,846.309,471.049,1073.96,455.646,858.516,608.803,343.837,567.914,965.734,1177.641,773.8,715.481,1226.534,872.616,821.298,858.698,428.937,745.535,958.467,861.458,485.716,,54.433,398.867,1070.43,,445.766,,829.396,1005.927,715.856,,1156.509,1176.084,983.058,972.565,1701.401,995.583,1689.729,865.2775907
2015-10-19,1064.567,873.231,1037.523,1319.398,775.441,775.364,672.127,459.633,758.976,795.438,1059.33,959.352,797.682,1373.408,384.631,710.056,1558.254,567.995,714.476,846.462,468.613,1084.575,455.284,859.76,605.482,341.419,563.293,956.796,1169.128,773.065,715.205,1219.95,864.127,822.265,854.318,425.009,743.039,945.364,860.301,483.69,,54.233,393.964,1080.469,,441.248,,840.985,1000.554,727.309,,1160.848,1196.378,990.98,967.952,1702.61,997.214,1687.535,867.2450561
2015-10-20,1063.302,871.029,1036.151,1318.219,774.559,774.622,671.802,462.707,758.294,794.779,1055.753,955.532,804.496,1371.422,385.97,711.153,1549.962,569.577,712.126,847.385,470.983,1078.179,453.578,859.175,605.053,343.79,560.042,965.493,1166.917,771.886,710.473,1214.62,863.173,824.811,849.784,424.687,738.653,940.251,857.991,484.78,,55.084,390.009,1076.495,,442.894,,833.468,994.328,735.048,,1158.293,1189.917,987.304,949.228,1696.791,998.228,1681.385,864.4746522
2015-10-21,1059.852,865.499,1032.468,1307.551,775.547,775.891,660.388,455.479,758.871,796.641,1053.654,953.24,786.579,1361.473,390.648,707.51,1539.952,570.706,716.217,856.038,477.823,1055.159,451.842,863.185,601.603,339.394,563.907,959.198,1159.208,772.267,707.51,1214.597,878.414,826.333,849.908,415.914,734.987,925.318,849.59,481.296,,55.822,387.335,1072.494,,437.262,,807.763,974.083,728.182,,1157.316,1190.481,987.193,947.656,1698.551,990.75,1669.485,859.1026208
2015-10-22,1069.185,864.278,1040.509,1326.603,777.174,778.089,663.982,456.996,760.491,797.121,1049.336,950.969,795.631,1381.554,391.833,706.488,1522.892,571.747,718.83,860.943,474.138,1056.541,452.328,863.767,595.649,335.277,565.605,965.439,1164.565,772.66,710.256,1218.429,870.524,833.893,852.974,423.783,742.901,941.16,858.605,472.033,,55.869,388.241,1072.494,,430.846,,798.964,985.569,738.582,,1149.841,1190.65,973.348,946.402,1698.18,989.68,1665.537,858.1699183
2015-10-23,1079.725,874.291,1050.944,1339.878,783.077,784.416,666.958,458.575,766.173,804.335,1063.364,964.414,797.707,1395.972,388.434,712.009,1535.725,568.629,727.568,874.349,477.112,1051.25,449.863,869.611,594.976,334.366,564.857,971.042,1174.816,777.633,722.738,1235.271,881.783,836.41,861.726,427.801,753.081,950.501,866.975,473.571,,55.575,383.038,1077.956,,428.035,,798.932,992.061,731.466,,1163.741,1216.402,994.542,964.327,1733.581,1000.162,1665.537,868.5558715
2015-10-26,1078.485,873.729,1049.789,1336.393,781.371,783.21,663.213,453.577,764.304,804.525,1064.002,965.759,789.199,1392.988,388.997,712.291,1543.255,568.54,724.826,875.947,472.957,1085.703,449.19,868.605,596.462,333.933,565.246,970.614,1168.246,774.858,725.859,1230.815,889.687,840.928,867.341,424.295,756.158,948.156,869.51,471.57,,56.027,389.128,1073.369,,428.088,,793.574,989.554,726.363,,1164.42,1228.43,991.067,961.669,1749.989,1007.202,1678.399,867.6543857
2015-10-27,1072.314,868.888,1043.802,1330.884,773.128,775.193,655.402,446.643,756.134,797.46,1060.545,962.49,777.816,1388.065,380.842,710.797,1539.243,560.244,717.735,866.821,465.645,1089.415,444.353,861.995,580.179,325.582,556.854,963.214,1156.168,766.156,722.718,1232.173,885.484,846.92,856.937,420.977,747.138,931.164,858.819,474.406,,57.075,390.376,1068.971,,426.656,,771.147,979.218,716.704,,1161.607,1225.487,991.822,947.018,1739.64,1000.573,1675.391,862.7065298
